"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2025";"0000";"27,2";"27,3";"26,8";"80,0";"86,0";"80,0";"23,5";"24,3";"23,5";"1008,0";"1008,0";"1006,8";"1,3";"81,0";"3,2";"0,90";"0,0"
"01/08/2025";"0100";"27,0";"27,3";"27,0";"79,0";"81,0";"77,0";"23,0";"23,5";"22,8";"1009,0";"1009,0";"1008,0";"1,2";"106,0";"4,2";"0,40";"0,0"
"01/08/2025";"0200";"26,6";"27,0";"26,5";"82,0";"82,0";"79,0";"23,2";"23,2";"22,8";"1009,3";"1009,3";"1008,9";"0,8";"80,0";"2,9";"";"0,0"
"01/08/2025";"0300";"26,3";"26,8";"26,3";"83,0";"83,0";"80,0";"23,2";"23,3";"23,0";"1009,5";"1009,5";"1009,1";"0,8";"122,0";"2,1";"";"0,0"
"01/08/2025";"0400";"26,3";"26,4";"26,0";"86,0";"86,0";"83,0";"23,8";"23,8";"23,2";"1009,6";"1009,8";"1009,5";"1,5";"108,0";"4,0";"";"0,0"
"01/08/2025";"0500";"25,8";"26,3";"25,8";"90,0";"90,0";"86,0";"24,0";"24,0";"23,8";"1008,7";"1009,6";"1008,7";"0,9";"90,0";"3,7";"";"0,0"
"01/08/2025";"0600";"25,9";"26,0";"25,7";"89,0";"90,0";"88,0";"24,0";"24,0";"23,8";"1008,3";"1008,7";"1008,2";"0,9";"73,0";"2,3";"";"0,0"
"01/08/2025";"0700";"25,7";"25,9";"25,6";"90,0";"90,0";"89,0";"24,0";"24,0";"23,9";"1008,3";"1008,3";"1008,1";"1,2";"79,0";"2,3";"";"0,0"
"01/08/2025";"0800";"25,6";"25,7";"25,6";"92,0";"92,0";"90,0";"24,1";"24,2";"24,0";"1008,5";"1008,5";"1008,1";"0,9";"61,0";"2,5";"";"0,0"
"01/08/2025";"0900";"25,8";"25,9";"25,5";"92,0";"92,0";"92,0";"24,5";"24,5";"24,1";"1008,8";"1008,8";"1008,5";"1,2";"76,0";"2,6";"";"0,0"
"01/08/2025";"1000";"25,7";"25,9";"25,7";"93,0";"93,0";"92,0";"24,5";"24,6";"24,4";"1009,3";"1009,3";"1008,8";"1,2";"42,0";"2,6";"";"0,0"
"01/08/2025";"1100";"26,7";"26,7";"25,7";"88,0";"93,0";"88,0";"24,6";"24,7";"24,5";"1009,9";"1009,9";"1009,3";"1,6";"66,0";"3,8";"173,70";"0,0"
"01/08/2025";"1200";"28,4";"28,4";"26,7";"79,0";"88,0";"79,0";"24,3";"24,7";"23,9";"1010,4";"1010,4";"1009,9";"1,9";"79,0";"5,5";"827,10";"0,0"
