"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"21,2";"23,6";"21,2";"90,0";"90,0";"75,0";"19,6";"19,6";"18,7";"966,8";"967,6";"965,3";"8,9";"222,0";"14,6";"";"0,4"
"01/10/2025";"0100";"20,7";"21,2";"20,7";"93,0";"93,0";"90,0";"19,5";"19,6";"19,4";"967,2";"967,2";"966,5";"6,9";"209,0";"13,1";"";"0,2"
"01/10/2025";"0200";"20,7";"20,8";"20,7";"90,0";"93,0";"89,0";"19,0";"19,5";"19,0";"965,9";"967,2";"965,7";"9,0";"187,0";"12,8";"";"0,0"
"01/10/2025";"0300";"20,9";"20,9";"20,6";"88,0";"91,0";"88,0";"18,9";"19,1";"18,8";"965,7";"965,9";"965,1";"7,5";"164,0";"12,2";"";"0,2"
"01/10/2025";"0400";"21,3";"21,3";"20,8";"86,0";"89,0";"86,0";"18,8";"19,0";"18,7";"965,2";"965,8";"964,9";"5,3";"170,0";"9,5";"";"0,0"
"01/10/2025";"0500";"21,0";"21,4";"20,9";"86,0";"89,0";"85,0";"18,6";"19,1";"18,5";"963,8";"965,3";"963,8";"3,6";"127,0";"6,9";"";"0,0"
"01/10/2025";"0600";"20,5";"21,1";"20,5";"91,0";"91,0";"86,0";"19,0";"19,0";"18,5";"965,0";"965,0";"963,8";"3,4";"218,0";"5,8";"";"0,0"
"01/10/2025";"0700";"20,7";"20,9";"20,4";"86,0";"93,0";"86,0";"18,4";"19,2";"18,4";"963,8";"965,1";"963,7";"4,7";"152,0";"6,9";"";"0,0"
"01/10/2025";"0800";"20,8";"20,8";"20,3";"86,0";"90,0";"86,0";"18,3";"18,6";"18,2";"964,2";"965,1";"963,8";"2,6";"166,0";"6,8";"";"0,0"
"01/10/2025";"0900";"20,2";"21,1";"20,2";"89,0";"89,0";"82,0";"18,4";"18,4";"17,8";"966,5";"966,9";"964,1";"6,0";"304,0";"9,8";"";"0,0"
"01/10/2025";"1000";"20,6";"20,9";"20,2";"86,0";"90,0";"84,0";"18,1";"18,6";"18,0";"966,7";"966,9";"966,5";"5,5";"219,0";"9,8";"";"0,0"
"01/10/2025";"1100";"21,5";"21,5";"20,4";"80,0";"88,0";"80,0";"17,9";"18,4";"17,9";"966,5";"966,7";"966,1";"6,6";"213,0";"11,5";"";"0,0"
"01/10/2025";"1200";"21,8";"22,2";"21,5";"82,0";"83,0";"75,0";"18,7";"18,9";"17,5";"968,4";"968,6";"966,5";"3,7";"297,0";"9,2";"";"0,0"
"01/10/2025";"1300";"21,6";"21,8";"21,6";"83,0";"86,0";"82,0";"18,6";"19,2";"18,6";"968,2";"968,6";"968,2";"4,5";"269,0";"6,3";"";"0,0"
"01/10/2025";"1400";"21,8";"21,8";"21,3";"84,0";"87,0";"81,0";"18,8";"18,9";"18,1";"968,3";"968,4";"968,1";"6,9";"226,0";"9,5";"";"0,0"
"01/10/2025";"1500";"22,2";"22,8";"21,8";"83,0";"86,0";"80,0";"19,2";"20,0";"18,8";"968,0";"968,4";"968,0";"6,1";"215,0";"9,2";"";"0,0"
"01/10/2025";"1600";"22,8";"23,0";"22,0";"82,0";"85,0";"80,0";"19,5";"19,9";"19,0";"967,7";"968,1";"967,6";"3,9";"237,0";"8,1";"";"0,0"
"01/10/2025";"1700";"22,3";"23,0";"22,2";"84,0";"84,0";"80,0";"19,4";"19,6";"19,0";"966,8";"967,7";"966,8";"4,8";"179,0";"7,2";"";"0,0"
"01/10/2025";"1800";"22,1";"22,3";"21,9";"85,0";"85,0";"82,0";"19,4";"19,4";"18,9";"966,5";"966,9";"966,5";"3,3";"217,0";"6,7";"";"0,0"
"01/10/2025";"1900";"22,2";"22,3";"22,0";"85,0";"85,0";"83,0";"19,5";"19,6";"19,1";"966,1";"966,5";"966,1";"4,2";"196,0";"6,3";"";"0,0"
"01/10/2025";"2000";"22,6";"22,7";"22,2";"79,0";"85,0";"79,0";"18,9";"19,4";"18,8";"966,4";"966,4";"966,1";"2,6";"206,0";"6,3";"";"0,0"
"01/10/2025";"2100";"21,9";"22,6";"21,8";"85,0";"86,0";"79,0";"19,3";"19,3";"18,9";"967,3";"967,3";"966,4";"4,4";"211,0";"6,2";"";"0,0"
"01/10/2025";"2200";"21,7";"22,0";"21,5";"85,0";"86,0";"83,0";"19,1";"19,3";"18,9";"967,3";"967,5";"967,1";"2,2";"155,0";"6,3";"";"0,0"
"01/10/2025";"2300";"22,0";"22,0";"21,4";"82,0";"87,0";"82,0";"18,8";"19,2";"18,8";"967,3";"967,3";"967,1";"1,7";"145,0";"3,5";"";"0,0"
"02/10/2025";"0000";"22,1";"22,1";"21,7";"79,0";"84,0";"79,0";"18,2";"18,9";"18,2";"967,7";"967,7";"967,3";"2,1";"144,0";"3,5";"";"0,0"
"02/10/2025";"0100";"21,4";"22,1";"21,3";"85,0";"85,0";"79,0";"18,8";"18,8";"18,2";"967,7";"967,9";"967,7";"3,0";"175,0";"3,9";"";"0,0"
"02/10/2025";"0200";"21,2";"21,6";"21,2";"87,0";"87,0";"84,0";"18,9";"19,0";"18,8";"967,6";"967,7";"967,4";"0,6";"136,0";"4,7";"";"0,0"
"02/10/2025";"0300";"20,8";"21,3";"20,7";"89,0";"90,0";"87,0";"18,9";"19,1";"18,8";"966,5";"967,6";"966,5";"2,4";"171,0";"3,5";"";"0,0"
"02/10/2025";"0400";"20,5";"20,8";"20,2";"89,0";"91,0";"88,0";"18,7";"19,0";"18,5";"966,0";"966,5";"966,0";"0,8";"219,0";"3,2";"";"0,0"
"02/10/2025";"0500";"21,0";"21,1";"20,5";"85,0";"89,0";"84,0";"18,4";"18,7";"18,2";"965,7";"966,0";"965,7";"2,0";"162,0";"2,4";"";"0,0"
"02/10/2025";"0600";"20,4";"21,0";"19,8";"90,0";"92,0";"85,0";"18,8";"18,8";"18,2";"965,4";"965,7";"965,4";"1,8";"169,0";"3,0";"";"0,0"
"02/10/2025";"0700";"20,4";"20,6";"19,9";"94,0";"95,0";"90,0";"19,4";"19,4";"18,7";"965,2";"965,4";"965,2";"2,6";"181,0";"3,6";"";"0,0"
"02/10/2025";"0800";"19,6";"20,6";"19,6";"97,0";"97,0";"93,0";"19,1";"19,4";"19,0";"965,9";"965,9";"965,2";"2,0";"212,0";"3,6";"";"0,0"
"02/10/2025";"0900";"19,6";"20,0";"19,6";"97,0";"98,0";"95,0";"19,2";"19,5";"19,0";"966,4";"966,5";"965,9";"2,5";"169,0";"4,7";"";"0,0"
"02/10/2025";"1000";"20,5";"20,5";"19,5";"94,0";"98,0";"94,0";"19,4";"19,6";"19,1";"966,8";"966,9";"966,4";"1,7";"134,0";"3,6";"";"0,0"
"02/10/2025";"1100";"21,1";"21,1";"20,2";"88,0";"95,0";"88,0";"19,1";"19,5";"19,0";"967,2";"967,2";"966,8";"1,9";"132,0";"4,1";"";"0,0"
"02/10/2025";"1200";"22,9";"23,0";"21,1";"66,0";"89,0";"66,0";"16,1";"19,3";"16,1";"967,5";"967,6";"967,2";"3,5";"126,0";"5,7";"";"0,0"
"02/10/2025";"1300";"24,0";"24,0";"22,7";"58,0";"67,0";"57,0";"15,1";"16,5";"15,0";"967,4";"967,7";"967,4";"5,6";"112,0";"7,4";"";"0,0"
"02/10/2025";"1400";"26,2";"27,0";"23,9";"50,0";"58,0";"48,0";"14,9";"15,7";"14,4";"967,0";"967,5";"967,0";"5,3";"118,0";"8,6";"";"0,0"
"02/10/2025";"1500";"27,0";"27,3";"26,2";"48,0";"50,0";"45,0";"14,9";"15,0";"14,1";"966,7";"967,0";"966,7";"4,5";"116,0";"9,0";"";"0,0"
"02/10/2025";"1600";"27,8";"28,3";"26,8";"46,0";"48,0";"44,0";"15,0";"15,1";"14,4";"966,0";"966,7";"965,9";"3,9";"125,0";"8,1";"";"0,0"
"02/10/2025";"1700";"26,5";"28,0";"26,4";"48,0";"49,0";"44,0";"14,7";"15,0";"14,2";"965,2";"966,0";"965,2";"3,0";"117,0";"7,0";"";"0,0"
"02/10/2025";"1800";"26,9";"27,1";"26,5";"49,0";"49,0";"47,0";"15,2";"15,3";"14,6";"964,4";"965,2";"964,4";"4,2";"155,0";"6,3";"";"0,0"
"02/10/2025";"1900";"25,5";"26,9";"25,4";"55,0";"57,0";"48,0";"16,0";"16,6";"14,9";"964,4";"964,4";"964,2";"6,1";"177,0";"7,8";"";"0,0"
"02/10/2025";"2000";"24,9";"25,5";"24,8";"56,0";"58,0";"55,0";"15,6";"16,2";"15,6";"964,5";"964,5";"964,3";"6,0";"167,0";"7,7";"";"0,0"
"02/10/2025";"2100";"23,9";"24,9";"23,9";"58,0";"58,0";"56,0";"15,2";"15,7";"15,0";"964,6";"964,6";"964,4";"4,3";"149,0";"7,4";"";"0,0"
"02/10/2025";"2200";"22,9";"23,9";"22,8";"65,0";"65,0";"58,0";"15,8";"16,0";"15,2";"965,1";"965,1";"964,6";"4,4";"157,0";"7,2";"";"0,0"
"02/10/2025";"2300";"22,9";"23,0";"22,7";"62,0";"65,0";"62,0";"15,2";"15,8";"15,2";"965,2";"965,2";"965,0";"3,0";"134,0";"5,5";"";"0,0"
"03/10/2025";"0000";"22,3";"23,0";"22,3";"65,0";"65,0";"62,0";"15,5";"15,5";"15,2";"965,7";"965,7";"965,2";"4,5";"165,0";"5,5";"";"0,0"
"03/10/2025";"0100";"22,1";"22,3";"21,5";"68,0";"70,0";"65,0";"15,8";"15,9";"15,5";"966,2";"966,2";"965,6";"2,5";"147,0";"5,4";"";"0,0"
"03/10/2025";"0200";"21,2";"22,1";"21,2";"73,0";"73,0";"68,0";"16,3";"16,3";"15,8";"966,4";"966,4";"966,1";"3,5";"173,0";"4,3";"";"0,0"
"03/10/2025";"0300";"20,9";"21,7";"20,9";"77,0";"77,0";"72,0";"16,8";"17,0";"16,2";"967,2";"967,3";"966,3";"5,1";"320,0";"6,4";"";"0,0"
"03/10/2025";"0400";"20,5";"20,9";"20,3";"83,0";"83,0";"77,0";"17,4";"17,5";"16,9";"966,3";"967,2";"966,3";"2,6";"283,0";"6,4";"";"0,0"
"03/10/2025";"0500";"20,0";"20,6";"19,9";"88,0";"88,0";"81,0";"18,0";"18,0";"17,4";"964,6";"966,3";"964,5";"3,8";"165,0";"7,2";"";"0,0"
"03/10/2025";"0600";"20,2";"20,5";"19,9";"86,0";"88,0";"84,0";"17,8";"18,0";"17,6";"965,7";"965,7";"964,3";"2,5";"325,0";"5,7";"";"0,0"
"03/10/2025";"0700";"19,6";"20,9";"19,4";"88,0";"91,0";"79,0";"17,5";"17,9";"17,0";"964,2";"966,0";"964,2";"3,1";"124,0";"8,7";"";"1,8"
"03/10/2025";"0800";"19,7";"20,0";"19,2";"87,0";"92,0";"84,0";"17,4";"17,9";"17,2";"965,3";"965,3";"964,0";"3,0";"78,0";"7,0";"";"0,6"
"03/10/2025";"0900";"19,2";"19,8";"19,2";"88,0";"91,0";"86,0";"17,3";"17,6";"17,2";"965,3";"965,4";"965,0";"3,2";"119,0";"6,1";"";"3,0"
"03/10/2025";"1000";"18,6";"19,3";"18,5";"92,0";"92,0";"87,0";"17,2";"17,4";"16,9";"966,5";"966,5";"965,2";"2,3";"88,0";"6,8";"";"2,6"
"03/10/2025";"1100";"18,6";"18,7";"18,4";"92,0";"94,0";"90,0";"17,3";"17,5";"17,0";"966,3";"966,7";"966,1";"3,5";"110,0";"5,5";"";"1,4"
"03/10/2025";"1200";"19,2";"19,2";"18,6";"89,0";"93,0";"89,0";"17,3";"17,6";"17,3";"966,5";"966,5";"966,2";"3,0";"106,0";"5,3";"";"0,0"
"03/10/2025";"1300";"19,6";"19,6";"19,2";"89,0";"90,0";"88,0";"17,7";"17,8";"17,4";"967,1";"967,1";"966,5";"3,2";"106,0";"4,7";"";"0,0"
"03/10/2025";"1400";"19,8";"19,8";"19,5";"91,0";"93,0";"89,0";"18,3";"18,5";"17,6";"966,4";"967,2";"966,0";"3,4";"95,0";"7,7";"";"0,0"
"03/10/2025";"1500";"20,8";"20,9";"19,8";"88,0";"91,0";"82,0";"18,7";"18,7";"17,7";"966,9";"967,2";"966,3";"2,5";"184,0";"5,8";"";"0,0"
"03/10/2025";"1600";"21,5";"21,6";"20,7";"81,0";"88,0";"78,0";"18,1";"18,8";"17,5";"965,7";"966,9";"965,7";"2,7";"140,0";"4,6";"";"0,0"
"03/10/2025";"1700";"22,5";"22,6";"21,5";"76,0";"83,0";"76,0";"18,1";"18,8";"17,7";"965,1";"965,7";"965,1";"4,3";"162,0";"5,8";"";"0,0"
"03/10/2025";"1800";"22,3";"22,7";"22,1";"80,0";"80,0";"74,0";"18,7";"18,9";"17,9";"964,3";"965,1";"964,3";"3,3";"165,0";"5,6";"";"0,0"
"03/10/2025";"1900";"21,7";"22,4";"21,7";"82,0";"82,0";"77,0";"18,5";"18,7";"18,1";"963,7";"964,3";"963,7";"5,1";"165,0";"6,5";"";"0,0"
"03/10/2025";"2000";"21,5";"21,7";"21,4";"85,0";"85,0";"81,0";"18,8";"18,9";"18,0";"963,3";"963,7";"963,2";"2,9";"132,0";"6,6";"";"0,0"
"03/10/2025";"2100";"21,1";"21,5";"21,1";"84,0";"86,0";"83,0";"18,4";"19,0";"18,3";"963,8";"963,9";"963,3";"3,6";"111,0";"6,2";"";"0,0"
"03/10/2025";"2200";"20,7";"21,1";"20,6";"87,0";"88,0";"84,0";"18,4";"18,6";"18,4";"963,2";"963,8";"963,0";"3,6";"105,0";"7,6";"";"0,0"
"03/10/2025";"2300";"20,7";"21,0";"20,6";"84,0";"87,0";"82,0";"18,0";"18,4";"17,8";"963,3";"963,8";"963,1";"2,8";"118,0";"6,3";"";"0,0"
"04/10/2025";"0000";"20,9";"21,2";"20,7";"81,0";"84,0";"79,0";"17,5";"18,0";"17,4";"963,3";"963,8";"963,2";"3,3";"102,0";"5,2";"";"0,0"
"04/10/2025";"0100";"20,9";"21,0";"20,8";"79,0";"81,0";"79,0";"17,2";"17,4";"17,2";"963,4";"963,5";"963,2";"3,4";"99,0";"6,4";"";"0,0"
"04/10/2025";"0200";"20,8";"20,9";"20,6";"79,0";"82,0";"79,0";"17,2";"17,5";"17,2";"963,3";"963,5";"963,0";"2,5";"114,0";"5,0";"";"0,0"
"04/10/2025";"0300";"21,1";"21,3";"20,7";"77,0";"82,0";"75,0";"16,9";"17,5";"16,7";"962,9";"963,4";"962,9";"4,0";"68,0";"5,7";"";"0,0"
"04/10/2025";"0400";"21,1";"21,2";"20,9";"76,0";"78,0";"75,0";"16,6";"17,0";"16,6";"962,7";"962,9";"962,6";"3,5";"61,0";"5,6";"";"0,0"
"04/10/2025";"0500";"21,0";"21,5";"21,0";"75,0";"76,0";"72,0";"16,5";"16,6";"16,3";"962,3";"962,7";"962,3";"2,6";"48,0";"5,2";"";"0,0"
"04/10/2025";"0600";"21,0";"21,1";"20,3";"76,0";"80,0";"75,0";"16,7";"16,8";"16,4";"962,2";"962,5";"962,0";"2,7";"59,0";"4,9";"";"0,0"
"04/10/2025";"0700";"20,7";"21,0";"20,4";"81,0";"81,0";"76,0";"17,2";"17,2";"16,7";"962,2";"962,5";"962,2";"3,1";"60,0";"5,0";"";"0,0"
