"TOA5","Carlitos","CR1000","51714","CR1000.Std.32.03","CPU:carlitos_teves.CR1","53796","carlitos"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","chuva_Tot"
"TS","RN","","",""
"","","Min","Smp","Tot"
"2025-10-09 08:14:45",0,12.5,22.22,0
"2025-10-09 08:15:00",1,12.49,22.22,0
"2025-10-09 08:15:15",2,12.49,22.22,0
"2025-10-09 08:15:30",3,12.49,22.22,0
"2025-10-09 08:15:45",4,12.49,22.22,2.8
"2025-10-09 08:16:00",5,12.49,22.22,0
"2025-10-09 08:16:15",6,12.49,22.22,0
"2025-10-09 08:16:30",7,12.49,22.22,0
"2025-10-09 08:16:45",8,12.49,22.22,0
"2025-10-09 08:17:00",9,12.49,22.22,0
"2025-10-09 08:17:15",10,12.49,22.22,1.2
"2025-10-09 08:17:30",11,12.49,22.22,5.2
"2025-10-09 08:17:45",12,12.49,22.22,0.6
"2025-10-09 08:18:00",13,12.49,22.22,2.2
"2025-10-09 08:18:15",14,12.49,22.22,6.8
