"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"23,1";"24,6";"23,1";"37,0";"37,0";"33,0";"7,5";"7,5";"7,2";"931,8";"931,8";"931,1";"5,1";"106,0";"9,9";"";"0,0"
"01/10/2025";"0100";"21,6";"23,1";"21,6";"46,0";"46,0";"37,0";"9,5";"9,5";"7,5";"932,2";"932,2";"931,8";"5,7";"112,0";"11,3";"";"0,0"
"01/10/2025";"0200";"20,4";"21,6";"20,4";"51,0";"51,0";"46,0";"9,9";"9,9";"9,5";"932,0";"932,3";"932,0";"4,1";"107,0";"9,6";"";"0,0"
"01/10/2025";"0300";"18,9";"20,4";"18,9";"57,0";"57,0";"51,0";"10,2";"10,2";"9,9";"931,9";"932,0";"931,8";"2,6";"121,0";"7,4";"";"0,0"
"01/10/2025";"0400";"17,6";"18,9";"17,6";"63,0";"63,0";"57,0";"10,6";"10,6";"10,2";"931,8";"931,9";"931,6";"2,6";"134,0";"8,0";"";"0,0"
"01/10/2025";"0500";"16,7";"17,6";"16,7";"69,0";"69,0";"63,0";"11,1";"11,1";"10,6";"931,5";"931,9";"931,5";"3,0";"137,0";"9,0";"";"0,0"
"01/10/2025";"0600";"16,1";"16,7";"16,1";"74,0";"74,0";"69,0";"11,4";"11,5";"11,1";"931,7";"931,7";"931,5";"2,6";"136,0";"9,1";"";"0,0"
"01/10/2025";"0700";"15,8";"16,1";"15,8";"75,0";"75,0";"74,0";"11,4";"11,5";"11,4";"931,7";"931,8";"931,6";"1,7";"136,0";"7,9";"";"0,0"
"01/10/2025";"0800";"15,4";"15,8";"15,4";"77,0";"77,0";"75,0";"11,4";"11,5";"11,3";"932,1";"932,1";"931,7";"1,4";"148,0";"5,5";"";"0,0"
"01/10/2025";"0900";"16,4";"16,4";"15,4";"74,0";"77,0";"74,0";"11,7";"11,7";"11,4";"933,0";"933,0";"932,1";"2,5";"147,0";"5,9";"50,30";"0,0"
"01/10/2025";"1000";"18,7";"18,7";"16,4";"66,0";"74,0";"66,0";"12,2";"12,2";"11,7";"933,4";"933,5";"933,0";"2,9";"129,0";"7,6";"617,50";"0,0"
"01/10/2025";"1100";"20,6";"20,9";"18,7";"57,0";"66,0";"56,0";"11,9";"12,4";"11,6";"934,1";"934,1";"933,4";"3,0";"137,0";"8,6";"1638,00";"0,0"
"01/10/2025";"1200";"23,3";"23,6";"20,7";"46,0";"57,0";"46,0";"11,2";"12,0";"11,2";"934,0";"934,2";"934,0";"3,3";"126,0";"9,6";"2598,00";"0,0"
"01/10/2025";"1300";"25,5";"25,8";"23,2";"39,0";"47,0";"39,0";"10,5";"11,6";"9,8";"933,7";"934,0";"933,7";"3,9";"103,0";"8,6";"3324,70";"0,0"
"01/10/2025";"1400";"27,3";"27,6";"25,1";"33,0";"40,0";"32,0";"9,5";"10,7";"8,9";"932,9";"933,7";"932,9";"3,4";"130,0";"7,8";"3561,20";"0,0"
"01/10/2025";"1500";"28,3";"29,1";"27,2";"27,0";"33,0";"26,0";"7,5";"9,9";"7,5";"931,5";"932,9";"931,5";"3,6";"73,0";"7,6";"3324,10";"0,0"
"01/10/2025";"1600";"29,7";"30,6";"28,3";"23,0";"28,0";"23,0";"6,1";"8,2";"6,0";"930,1";"931,6";"930,1";"2,5";"82,0";"7,4";"3017,20";"0,0"
"01/10/2025";"1700";"31,3";"31,4";"29,4";"17,0";"23,0";"17,0";"3,5";"6,5";"3,5";"929,3";"930,1";"929,3";"2,1";"141,0";"7,6";"2670,70";"0,0"
"01/10/2025";"1800";"31,6";"31,7";"30,5";"20,0";"21,0";"17,0";"6,1";"6,2";"2,7";"928,9";"929,3";"928,9";"1,6";"84,0";"6,0";"2241,90";"0,0"
"01/10/2025";"1900";"31,1";"32,4";"30,7";"18,0";"20,0";"18,0";"4,1";"5,8";"4,1";"928,7";"928,9";"928,6";"2,2";"50,0";"6,8";"1769,60";"0,0"
"01/10/2025";"2000";"30,4";"31,6";"30,4";"20,0";"20,0";"18,0";"5,0";"5,1";"3,8";"929,1";"929,1";"928,7";"0,8";"114,0";"6,4";"863,50";"0,0"
"01/10/2025";"2100";"28,2";"30,5";"28,2";"31,0";"31,0";"20,0";"9,4";"9,4";"5,0";"929,8";"929,8";"929,1";"4,8";"81,0";"8,8";"55,80";"0,0"
"01/10/2025";"2200";"26,6";"28,2";"26,6";"36,0";"36,0";"31,0";"10,1";"10,1";"9,3";"930,6";"930,6";"929,8";"5,6";"88,0";"10,1";"";"0,0"
"01/10/2025";"2300";"25,1";"26,6";"25,1";"43,0";"43,0";"36,0";"11,8";"11,8";"10,1";"931,3";"931,3";"930,6";"5,4";"90,0";"11,2";"";"0,0"
"02/10/2025";"0000";"24,1";"25,1";"24,1";"48,0";"48,0";"43,0";"12,4";"12,4";"11,7";"931,9";"931,9";"931,3";"5,1";"90,0";"9,5";"";"0,0"
"02/10/2025";"0100";"23,0";"24,1";"23,0";"54,0";"54,0";"48,0";"13,3";"13,3";"12,4";"932,4";"932,4";"931,9";"5,4";"107,0";"9,7";"";"0,0"
"02/10/2025";"0200";"21,6";"23,0";"21,6";"63,0";"63,0";"54,0";"14,3";"14,3";"13,3";"932,1";"932,5";"932,1";"4,6";"108,0";"11,1";"";"0,0"
"02/10/2025";"0300";"20,5";"21,6";"20,5";"68,0";"68,0";"63,0";"14,5";"14,5";"14,3";"931,6";"932,1";"931,6";"4,2";"107,0";"9,8";"";"0,0"
"02/10/2025";"0400";"19,6";"20,5";"19,6";"72,0";"72,0";"68,0";"14,3";"14,5";"14,3";"931,4";"931,6";"931,4";"1,9";"122,0";"9,3";"";"0,0"
