"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"28,2";"29,8";"28,2";"68,0";"68,0";"63,0";"21,7";"22,2";"21,7";"1007,1";"1007,1";"1006,0";"4,2";"72,0";"8,9";"471,20";"0,0"
"01/10/2025";"0100";"26,9";"28,2";"26,9";"74,0";"74,0";"68,0";"21,8";"21,8";"21,6";"1007,8";"1007,8";"1007,1";"3,9";"65,0";"8,9";"913,00";"0,0"
"01/10/2025";"0200";"26,2";"26,9";"26,2";"79,0";"79,0";"74,0";"22,2";"22,3";"21,8";"1007,9";"1008,0";"1007,8";"2,9";"61,0";"6,3";"1593,50";"0,0"
"01/10/2025";"0300";"25,5";"26,2";"25,5";"83,0";"83,0";"79,0";"22,4";"22,4";"22,2";"1007,3";"1007,9";"1007,3";"2,4";"61,0";"5,0";"2181,20";"0,0"
"01/10/2025";"0400";"25,0";"25,5";"25,0";"86,0";"86,0";"83,0";"22,4";"22,4";"22,4";"1006,9";"1007,3";"1006,9";"1,7";"45,0";"4,0";"2626,80";"0,0"
"01/10/2025";"0500";"24,7";"25,0";"24,6";"87,0";"87,0";"86,0";"22,4";"22,5";"22,3";"1006,8";"1006,9";"1006,7";"1,3";"48,0";"3,0";"2775,40";"0,0"
"01/10/2025";"0600";"24,4";"24,7";"24,4";"89,0";"89,0";"87,0";"22,4";"22,5";"22,4";"1006,7";"1006,8";"1006,6";"1,3";"30,0";"2,5";"2907,40";"0,0"
"01/10/2025";"0700";"24,1";"24,5";"24,1";"90,0";"90,0";"88,0";"22,3";"22,4";"22,3";"1007,0";"1007,0";"1006,7";"1,8";"35,0";"2,8";"3090,60";"0,0"
"01/10/2025";"0800";"24,0";"24,2";"23,9";"91,0";"91,0";"90,0";"22,3";"22,4";"22,2";"1007,7";"1007,8";"1007,0";"0,7";"107,0";"2,8";"3016,50";"0,0"
"01/10/2025";"0900";"24,0";"24,0";"23,9";"91,0";"91,0";"91,0";"22,4";"22,4";"22,3";"1008,7";"1008,7";"1007,7";"0,6";"108,0";"1,3";"2855,40";"0,0"
"01/10/2025";"1000";"25,3";"25,3";"24,0";"85,0";"91,0";"85,0";"22,7";"22,7";"22,4";"1009,5";"1009,5";"1008,7";"1,5";"71,0";"3,0";"3050,40";"0,0"
"01/10/2025";"1100";"27,0";"27,1";"25,3";"79,0";"85,0";"79,0";"23,0";"23,4";"22,6";"1010,2";"1010,2";"1009,5";"2,2";"88,0";"4,1";"2812,20";"0,0"
