"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2025";"0000";"14,1";"14,5";"14,1";"83,0";"83,0";"80,0";"11,3";"11,3";"11,2";"1019,6";"1019,8";"1019,6";"6,0";"43,0";"11,6";"";"0,0"
"01/08/2025";"0100";"14,0";"14,2";"13,9";"85,0";"85,0";"83,0";"11,4";"11,5";"11,3";"1019,5";"1019,7";"1019,5";"5,7";"40,0";"10,7";"";"0,0"
"01/08/2025";"0200";"13,7";"14,0";"13,7";"86,0";"86,0";"85,0";"11,4";"11,4";"11,3";"1019,2";"1019,6";"1019,2";"5,6";"41,0";"10,3";"";"0,0"
"01/08/2025";"0300";"13,2";"13,7";"13,2";"88,0";"88,0";"86,0";"11,3";"11,4";"11,3";"1019,0";"1019,4";"1019,0";"4,5";"41,0";"8,6";"";"0,0"
"01/08/2025";"0400";"13,2";"13,3";"13,2";"89,0";"89,0";"88,0";"11,4";"11,5";"11,3";"1018,3";"1019,0";"1018,3";"6,0";"36,0";"10,6";"";"0,0"
"01/08/2025";"0500";"13,2";"13,3";"13,2";"90,0";"90,0";"89,0";"11,6";"11,6";"11,5";"1017,8";"1018,4";"1017,8";"6,7";"35,0";"11,1";"";"0,0"
"01/08/2025";"0600";"12,9";"13,2";"12,9";"90,0";"90,0";"90,0";"11,3";"11,6";"11,3";"1018,2";"1018,5";"1017,7";"4,7";"36,0";"10,3";"";"0,0"
"01/08/2025";"0700";"12,3";"12,9";"12,3";"92,0";"92,0";"90,0";"11,0";"11,3";"11,0";"1017,6";"1018,2";"1017,6";"3,8";"38,0";"6,7";"";"0,0"
"01/08/2025";"0800";"12,3";"12,4";"12,3";"92,0";"92,0";"91,0";"10,9";"11,0";"10,9";"1017,1";"1017,6";"1017,1";"4,5";"36,0";"7,5";"";"0,0"
"01/08/2025";"0900";"12,3";"12,3";"12,1";"92,0";"92,0";"92,0";"11,1";"11,1";"10,8";"1016,8";"1017,1";"1016,7";"4,1";"52,0";"7,1";"";"0,0"
"01/08/2025";"1000";"11,9";"12,3";"11,9";"92,0";"92,0";"92,0";"10,7";"11,1";"10,7";"1016,9";"1016,9";"1016,7";"4,6";"26,0";"8,5";"";"0,0"
"01/08/2025";"1100";"12,3";"12,3";"11,9";"92,0";"93,0";"92,0";"11,0";"11,0";"10,7";"1016,7";"1017,1";"1016,7";"5,3";"36,0";"9,4";"124,90";"0,0"
"01/08/2025";"1200";"13,0";"13,0";"12,3";"90,0";"92,0";"90,0";"11,4";"11,4";"11,0";"1016,6";"1016,9";"1016,6";"5,1";"37,0";"9,0";"578,90";"0,0"
"01/08/2025";"1300";"14,0";"14,0";"13,0";"86,0";"90,0";"86,0";"11,8";"11,8";"11,4";"1016,8";"1017,0";"1016,6";"4,8";"35,0";"7,8";"969,90";"0,0"
"01/08/2025";"1400";"16,8";"16,8";"14,1";"78,0";"87,0";"78,0";"13,0";"13,2";"11,9";"1015,9";"1016,8";"1015,9";"5,0";"29,0";"8,6";"1682,10";"0,0"
"01/08/2025";"1500";"18,7";"18,8";"16,8";"74,0";"79,0";"74,0";"13,9";"14,2";"13,0";"1014,5";"1015,9";"1014,5";"5,2";"39,0";"9,2";"1651,80";"0,0"
"01/08/2025";"1600";"19,9";"19,9";"18,7";"69,0";"74,0";"69,0";"14,0";"14,1";"13,6";"1013,3";"1014,5";"1013,2";"4,4";"45,0";"9,1";"1744,00";"0,0"
"01/08/2025";"1700";"21,6";"21,8";"19,9";"63,0";"69,0";"63,0";"14,1";"14,9";"14,0";"1013,4";"1013,7";"1013,2";"4,7";"36,0";"7,4";"1837,40";"0,0"
"01/08/2025";"1800";"21,8";"22,2";"21,4";"66,0";"66,0";"61,0";"15,2";"15,2";"13,7";"1012,4";"1013,4";"1012,4";"3,7";"57,0";"7,3";"1618,60";"0,0"
"01/08/2025";"1900";"19,0";"21,8";"19,0";"72,0";"72,0";"66,0";"13,8";"15,1";"13,8";"1011,9";"1012,4";"1011,8";"4,0";"50,0";"6,6";"893,50";"0,0"
"01/08/2025";"2000";"18,2";"19,0";"18,2";"72,0";"72,0";"71,0";"13,2";"13,9";"13,2";"1011,6";"1011,9";"1011,5";"4,4";"49,0";"7,6";"465,10";"0,0"
"01/08/2025";"2100";"17,2";"18,2";"17,2";"75,0";"75,0";"72,0";"12,7";"13,1";"12,7";"1011,3";"1011,7";"1010,9";"4,4";"39,0";"8,4";"59,50";"0,0"
"01/08/2025";"2200";"17,1";"17,2";"16,9";"76,0";"77,0";"75,0";"12,9";"12,9";"12,7";"1011,5";"1011,5";"1011,1";"4,3";"49,0";"8,0";"";"0,0"
"01/08/2025";"2300";"16,8";"17,1";"16,8";"78,0";"78,0";"76,0";"13,0";"13,0";"12,9";"1011,9";"1012,1";"1011,5";"4,3";"38,0";"7,1";"";"0,0"
"02/08/2025";"0000";"17,3";"17,3";"16,8";"76,0";"79,0";"76,0";"12,9";"13,2";"12,9";"1011,8";"1012,0";"1011,7";"4,6";"21,0";"7,4";"";"0,0"
"02/08/2025";"0100";"16,4";"17,3";"16,4";"76,0";"76,0";"75,0";"12,1";"12,9";"12,1";"1011,5";"1011,8";"1011,5";"3,1";"40,0";"7,0";"";"0,0"
"02/08/2025";"0200";"16,2";"16,4";"16,2";"78,0";"78,0";"76,0";"12,3";"12,3";"12,1";"1011,3";"1011,5";"1011,3";"3,3";"58,0";"5,6";"";"0,0"
"02/08/2025";"0300";"16,0";"16,2";"16,0";"80,0";"80,0";"78,0";"12,6";"12,6";"12,3";"1011,2";"1011,3";"1011,1";"2,9";"62,0";"5,9";"";"0,0"
"02/08/2025";"0400";"15,8";"16,1";"15,8";"83,0";"83,0";"80,0";"12,8";"12,8";"12,6";"1010,9";"1011,2";"1010,9";"3,3";"49,0";"5,7";"";"0,0"
"02/08/2025";"0500";"15,7";"15,8";"15,7";"84,0";"84,0";"83,0";"13,1";"13,1";"12,8";"1010,4";"1011,0";"1010,4";"3,3";"44,0";"5,2";"";"0,0"
"02/08/2025";"0600";"16,0";"16,0";"15,7";"84,0";"84,0";"84,0";"13,2";"13,2";"13,1";"1009,8";"1010,4";"1009,7";"3,5";"35,0";"6,4";"";"0,0"
